iter	Passed	Remaining
439	1338	1703
440	1342	1701
441	1345	1698
442	1348	1695
443	1351	1692
444	1355	1690
445	1358	1687
446	1361	1684
447	1364	1681
448	1366	1677
449	1370	1674
450	1373	1672
451	1377	1669
452	1380	1667
453	1384	1664
454	1391	1667
455	1397	1667
456	1402	1666
457	1406	1664
458	1410	1662
459	1414	1660
460	1417	1657
461	1421	1655
462	1425	1653
463	1428	1650
464	1431	1646
465	1433	1643
466	1436	1639
467	1438	1635
468	1441	1631
469	1443	1628
470	1446	1624
471	1449	1621
472	1452	1618
473	1455	1615
474	1458	1612
475	1461	1609
476	1464	1606
477	1467	1602
478	1470	1598
479	1472	1595
480	1475	1592
481	1478	1589
482	1481	1585
483	1484	1582
484	1486	1578
485	1489	1575
486	1493	1573
487	1496	1570
488	1499	1566
489	1501	1563
490	1504	1559
491	1508	1557
492	1510	1553
493	1513	1550
494	1516	1547
495	1519	1543
496	1522	1541
497	1525	1537
498	1528	1534
499	1530	1530
500	1533	1527
501	1536	1524
502	1539	1521
503	1542	1517
504	1545	1514
505	1547	1510
506	1550	1507
507	1553	1504
508	1556	1501
509	1558	1497
510	1561	1494
511	1564	1490
512	1568	1488
513	1571	1485
514	1574	1482
515	1577	1479
516	1581	1477
517	1585	1475
518	1589	1472
519	1592	1470
520	1596	1468
521	1600	1465
522	1604	1463
523	1607	1460
524	1611	1458
525	1614	1455
526	1619	1453
527	1622	1450
528	1626	1448
529	1630	1445
530	1633	1443
531	1638	1441
532	1646	1442
533	1649	1439
534	1653	1436
535	1656	1433
536	1658	1430
537	1661	1426
538	1664	1423
539	1668	1421
540	1672	1418
541	1674	1415
542	1677	1412
543	1680	1408
544	1684	1406
545	1687	1402
546	1689	1399
547	1692	1396
548	1695	1392
549	1699	1390
550	1703	1388
551	1706	1384
552	1709	1382
553	1714	1380
554	1717	1376
555	1720	1373
556	1722	1370
557	1725	1367
558	1729	1364
559	1732	1361
560	1735	1358
561	1738	1354
562	1741	1351
563	1745	1349
564	1748	1345
565	1751	1343
566	1754	1339
567	1758	1337
568	1762	1334
569	1766	1332
570	1769	1329
571	1773	1327
572	1777	1324
573	1780	1321
574	1783	1318
575	1786	1315
576	1789	1312
577	1793	1309
578	1796	1306
579	1800	1303
580	1804	1301
581	1808	1298
582	1810	1295
583	1814	1292
584	1817	1289
585	1820	1286
586	1824	1283
587	1827	1280
588	1829	1276
589	1833	1273
590	1836	1270
591	1839	1267
592	1842	1264
593	1846	1261
594	1849	1258
595	1852	1255
596	1856	1253
597	1860	1250
598	1863	1247
599	1866	1244
600	1868	1240
601	1872	1237
602	1875	1234
603	1878	1231
604	1881	1228
605	1884	1225
606	1887	1222
607	1891	1219
608	1895	1216
609	1898	1213
610	1901	1210
611	1906	1208
612	1909	1205
613	1912	1202
614	1916	1199
615	1919	1196
616	1923	1193
617	1926	1190
618	1930	1188
619	1934	1185
620	1938	1183
621	1942	1180
622	1945	1177
623	1948	1174
624	1953	1171
625	1956	1168
626	1959	1165
627	1962	1162
628	1967	1160
629	1971	1158
630	1974	1154
631	1977	1151
632	1980	1148
633	1984	1145
634	1986	1142
635	1990	1139
636	1993	1135
637	1997	1133
638	2000	1130
639	2003	1127
640	2007	1124
641	2010	1120
642	2013	1117
643	2016	1114
644	2019	1111
645	2023	1108
646	2025	1105
647	2029	1102
648	2033	1099
649	2037	1097
650	2040	1093
651	2043	1090
652	2047	1088
653	2050	1084
654	2054	1082
655	2056	1078
656	2059	1075
657	2063	1072
658	2066	1069
659	2069	1066
660	2072	1062
661	2076	1060
662	2079	1056
663	2082	1053
664	2084	1050
665	2087	1046
666	2090	1043
667	2093	1040
668	2096	1037
669	2098	1033
670	2101	1030
671	2104	1027
672	2107	1023
673	2110	1021
674	2114	1017
675	2116	1014
676	2119	1011
677	2122	1007
678	2125	1004
679	2128	1001
680	2130	998
681	2133	994
682	2135	991
683	2139	988
684	2142	985
685	2145	981
686	2147	978
687	2150	975
688	2153	971
689	2156	968
690	2159	965
691	2161	962
692	2163	958
693	2166	955
694	2170	952
695	2173	949
696	2175	945
697	2178	942
698	2181	939
699	2183	935
700	2187	932
701	2190	929
702	2193	926
703	2196	923
704	2199	920
705	2202	917
706	2204	913
707	2207	910
708	2209	907
709	2212	903
710	2215	900
711	2219	897
712	2222	894
713	2225	891
714	2228	888
715	2232	885
716	2236	882
717	2239	879
718	2242	876
719	2245	873
720	2249	870
721	2252	867
722	2255	864
723	2258	860
724	2261	857
725	2263	854
726	2266	851
727	2268	847
728	2271	844
729	2274	841
730	2277	837
731	2279	834
732	2282	831
733	2284	827
734	2287	824
735	2290	821
736	2293	818
737	2296	815
738	2298	811
739	2302	808
740	2304	805
741	2307	802
742	2309	798
743	2312	795
744	2315	792
745	2318	789
746	2321	786
747	2323	782
748	2326	779
749	2329	776
750	2332	773
751	2335	770
752	2337	766
753	2340	763
754	2343	760
755	2347	757
756	2350	754
757	2353	751
758	2356	748
759	2359	744
760	2362	742
761	2365	738
762	2368	735
763	2371	732
764	2375	729
765	2378	726
766	2381	723
767	2384	720
768	2387	717
769	2390	714
770	2393	710
771	2397	707
772	2400	704
773	2403	701
774	2407	698
775	2411	696
776	2414	692
777	2417	689
778	2420	686
779	2425	684
780	2428	680
781	2430	677
782	2434	674
783	2436	671
784	2441	668
785	2444	665
786	2446	662
787	2450	659
788	2452	655
789	2456	653
790	2459	649
791	2462	646
792	2465	643
793	2468	640
794	2471	637
795	2474	634
796	2477	631
797	2480	627
798	2483	624
799	2487	621
800	2490	618
801	2492	615
802	2495	612
803	2498	609
804	2501	606
805	2505	603
806	2508	599
807	2511	596
808	2513	593
809	2517	590
810	2521	587
811	2524	584
812	2527	581
813	2531	578
814	2534	575
815	2537	572
816	2540	569
817	2545	566
818	2550	563
819	2554	560
820	2557	557
821	2560	554
822	2565	551
823	2569	548
824	2572	545
825	2575	542
826	2580	539
827	2584	536
828	2587	533
829	2591	530
830	2596	527
831	2599	524
832	2603	521
833	2606	518
834	2610	515
835	2614	512
836	2617	509
837	2621	506
838	2624	503
839	2628	500
840	2631	497
841	2634	494
842	2637	491
843	2639	487
844	2643	484
845	2646	481
846	2649	478
847	2652	475
848	2655	472
849	2658	469
850	2662	466
851	2665	462
852	2669	459
853	2671	456
854	2676	453
855	2679	450
856	2683	447
857	2686	444
858	2690	441
859	2693	438
860	2695	435
861	2699	432
862	2702	429
863	2705	425
864	2708	422
865	2711	419
866	2714	416
867	2718	413
868	2721	410
869	2724	407
870	2726	403
871	2729	400
872	2732	397
873	2735	394
874	2737	391
875	2740	387
876	2742	384
877	2745	381
878	2748	378
879	2751	375
880	2753	371
881	2756	368
882	2758	365
883	2761	362
884	2764	359
885	2767	356
886	2770	352
887	2772	349
888	2775	346
889	2779	343
890	2782	340
891	2786	337
892	2789	334
893	2795	331
894	2798	328
895	2800	325
896	2803	321
897	2806	318
898	2809	315
899	2811	312
900	2814	309
901	2816	306
902	2819	302
903	2822	299
904	2825	296
905	2828	293
906	2832	290
907	2835	287
908	2840	284
909	2844	281
910	2847	278
911	2850	275
912	2853	271
913	2856	268
914	2859	265
915	2862	262
916	2865	259
917	2868	256
918	2871	253
919	2873	249
920	2876	246
921	2879	243
922	2881	240
923	2884	237
924	2887	234
925	2890	230
926	2892	227
927	2895	224
928	2898	221
929	2900	218
930	2903	215
931	2906	212
932	2909	208
933	2911	205
934	2913	202
935	2916	199
936	2919	196
937	2921	193
938	2924	189
939	2927	186
940	2929	183
941	2931	180
942	2934	177
943	2937	174
944	2939	171
945	2942	167
946	2945	164
947	2947	161
948	2950	158
949	2953	155
950	2956	152
951	2959	149
952	2961	146
953	2964	142
954	2967	139
955	2972	136
956	2975	133
957	2978	130
958	2981	127
959	2985	124
960	2988	121
961	2991	118
962	2995	115
963	2999	112
964	3003	108
965	3006	105
966	3009	102
967	3014	99
968	3017	96
969	3021	93
970	3034	90
971	3044	87
972	3049	84
973	3054	81
974	3058	78
975	3063	75
976	3067	72
977	3070	69
978	3073	65
979	3077	62
980	3080	59
981	3084	56
982	3087	53
983	3089	50
984	3095	47
985	3099	44
986	3101	40
